rps,gcp_achieved_rps,gcp_avg_ms,gcp_p95_ms,gcp_fail_rate,azure_achieved_rps,azure_avg_ms,azure_p95_ms,azure_fail_rate
1,0.9999681435481992,10.564443333333333,13.269575249999997,0,1.0320282050772986,984.2142417419354,5779.4677475,0
10,10.029573203212284,10.333980089700997,13.026945,0,9.99952613245611,11.965990003333326,12.091943100000002,0
50,50.01216958683908,10.043155006662221,12.520771,0,50.01163800636805,11.555291606928714,12.094261,0.0006662225183211193
100,99.99892148114232,10.293232991003016,12.816975,0,99.9914787035277,11.822619415528136,12.265002,0
200,199.96152979414182,10.189950595567405,13.027705,0,199.94874371763675,11.722853811364756,11.963385,0
300,299.93050530210684,10.435759641555553,12.343144749999993,0,299.9133982153149,12.146246840795454,11.774406,0
400,399.91717806882247,11.75990399358382,13.226457,0,399.8725652882298,12.039886851679055,11.80417,0
500,496.0270447646624,86.56634108224047,157.58658364999997,0.00013383297644539615,499.83185836224163,12.371480814133358,11.765338499999997,0
600,599.7664181047436,80.8503522139875,156.435521,0,599.7954372269998,12.796065010722216,11.757670249999999,0
700,695.4519519426117,15.91695548066664,14.986746049999997,0,699.7404212466097,12.876511771010842,11.883912,0
800,794.4275845744799,21.80308914516067,41.410576,0,799.7155146852937,13.347968830923651,12.076256,0
900,891.8146548426741,29.18816033265396,213.3370388,0,896.1977302749445,13.761061818673326,12.461464,0.000037035665345727935
1000,989.5941389514454,36.840178060427974,218.2442244,0,993.2886632321173,15.869683045098535,13.495477,0
